rank,full_name,url,description,stars,forks,language,created_at,updated_at,last_commit_date,open_issues,topics,license,readme_summary,has_readme,top_contributor,contributor_count,recent_commits,activity_score,id
1,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,446761,41903,Markdown,2018-05-09,2025-10-10,2025-10-10,452,"awesome-list, free, programming",无,"[![Banner](https://codecrafters.io/images/updated-byox-banner.gif)](https://codecrafters.io/github-banner) This repository is a compilation of well-written, step-by-step guides for re-creating our favorite technologies from scratch. > *What I cannot create, I do not understand — Richard Feynman.*...",True,danistefanovic,3,5,80.0,132750724
2,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",434189,42697,TypeScript,2014-12-24,2025-12-05,2025-12-05,289,"careers, certification, community","BSD 3-Clause ""New"" or ""Revised"" License",[![freeCodeCamp Social Banner](https://cdn.freecodecamp.org/platform/universal/fcc_banner_new.png)](https://www.freecodecamp.org/) [![first-timers-only Friendly](https://img.shields.io/badge/first--timers--only-friendly-blue.svg)](https://www.firsttimersonly.com/) [![Discord](https://img.shields.io/discord/692816967895220344?logo=discord&label=Discord&color=5865F2)](https://discord.gg/PRyKn3Vbay)...,True,camperbot,3,5,100.0,28457823
3,sindresorhus/awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,420427,32507,未知,2014-07-11,2025-11-22,2025-11-22,52,"awesome, awesome-list, lists",Creative Commons Zero v1.0 Universal,"<div align=""center""> <img width=""500"" height=""350"" src=""media/logo.svg"" alt=""Awesome""> <br>...",True,sindresorhus,3,5,90.0,21737465
4,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,382811,40832,Python,2016-03-20,2025-11-04,2025-11-04,742,"api, apis, dataset",MIT License,The Public APIs repository is manually curated by community members like you and folks working at [APILayer](https://apilayer.com/?utm_source=Github&utm_medium=Referral&utm_campaign=Public-apis-repo). It includes an extensive list of public APIs from many domains that you can use for your own products. Consider it a treasure trove of APIs well-managed by the community over the years. <br > <p>...,True,matheusfelipeog,3,5,80.0,54346799
5,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,378318,65607,Python,2013-10-11,2025-11-28,2025-11-28,200,"books, education, hacktoberfest",Creative Commons Attribution 4.0 International,"<div align=""center"" markdown=""1""> [![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d29fed78fa85652e3a63e154dd8e8829/media/badge.svg)](https://github.com/sindresorhus/awesome)&#160; [![License: CC BY 4.0](https://img.shields.io/github/license/EbookFoundation/free-programming-books)](https://creativecommons.org/licenses/by/4.0/)&#160;...",True,vhf,3,5,90.0,13491895
6,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",344932,43476,TypeScript,2017-03-15,2025-12-05,2025-12-05,51,"angular-roadmap, backend-roadmap, blockchain-roadmap",Other,"<p align=""center""> <a href=""https://roadmap.sh/""><img src=""public/img/brand.png"" height=""128""></a> <h2 align=""center""><a href=""https://roadmap.sh"">roadmap.sh</a></h2>...",True,kamranahmedse,3,5,100.0,85077558
7,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,334457,81400,未知,2016-06-06,2025-08-28,2024-12-05,90,"algorithm, algorithms, coding-interview",Creative Commons Attribution Share Alike 4.0 International,"> I originally created this as a short to-do list of study topics for becoming a software engineer, > but it grew to the large list you see today. After going through this study plan, [I got hired > as a Software Development Engineer at Amazon](https://startupnextdoor.com/ive-been-acquired-by-amazon/?src=ciu)!...",True,jwasham,3,5,75.0,60493101
8,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,328652,53558,Python,2017-02-26,2025-11-03,2025-11-03,515,"design, design-patterns, design-system",Other,*[English](README.md) ∙ [日本語](README-ja.md) ∙ [简体中文](README-zh-Hans.md) ∙ [繁體中文](README-zh-TW.md) | [العَرَبِيَّة‎](https://github.com/donnemartin/system-design-primer/issues/170) ∙ [বাংলা](https://github.com/donnemartin/system-design-primer/issues/220) ∙ [Português do Brasil](https://github.com/donnemartin/system-design-primer/issues/40) ∙ [Deutsch](https://github.com/donnemartin/system-design-pr...,True,donnemartin,3,5,80.0,83222441
9,996icu/996.ICU,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,274968,21009,未知,2019-03-26,2025-08-22,2025-08-22,16697,,Other,"[996.ICU](https://996.icu/#/en_US) ======= **Please note that there exists NO other official account, app or merchandise except for the official domain and this repository.**...",True,996icu,3,5,65.0,177736533
10,vinta/awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",272629,26860,Python,2014-06-27,2025-11-20,2025-11-20,522,"awesome, collections, python",Other,"<div align=""center""> <sup>Special thanks to:</sup> <br>...",True,vinta,3,5,90.0,21289110
11,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,261701,12043,未知,2015-06-01,2025-12-04,2025-12-04,0,"awesome, awesome-list, cloud",Other,[![Awesome](_static/awesome.png)](https://github.com/sindresorhus/awesome) [![](https://github.com/awesome-selfhosted/awesome-selfhosted-data/actions/workflows/check-dead-links.yml/badge.svg)](https://github.com/awesome-selfhosted/awesome-selfhosted-data/issues/1) [![](https://github.com/awesome-selfhosted/awesome-selfhosted-data/actions/workflows/check-unmaintained-projects.yml/badge.svg)](https:...,True,nodiscc,3,5,90.0,36633370
12,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,251858,32924,未知,2017-04-12,2024-08-15,2023-03-21,262,"beginner-project, cpp, golang",MIT License,[![Gitter](https://badges.gitter.im/practical-tutorials/community.svg)](https://gitter.im/practical-tutorials/community?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge) A list of programming tutorials in which aspiring software developers learn how to build an application from scratch. These tutorials are divided into different primary programming languages. Tutorials may involve multiple ...,True,tuvtran,3,5,60.0,88011908
13,facebook/react,https://github.com/facebook/react,The library for web and native user interfaces.,241240,50014,JavaScript,2013-05-24,2025-12-05,2025-12-05,1099,"declarative, frontend, javascript",MIT License,"React is a JavaScript library for building user interfaces. * **Declarative:** React makes it painless to create interactive UIs. Design simple views for each state in your application, and React will efficiently update and render just the right components when your data changes. Declarative views make your code more predictable, simpler to understand, and easier to debug. * **Component-Based:** B...",True,sebmarkbage,3,5,100.0,10270250
14,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,214366,49539,Python,2016-07-16,2025-12-01,2025-12-01,783,"algorithm, algorithm-competitions, algorithms-implemented",MIT License,"<div align=""center""> <!-- Title: --> <a href=""https://github.com/TheAlgorithms/"">...",True,harshildarji,3,5,100.0,63476337
15,vuejs/vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",209744,33804,TypeScript,2013-07-29,2024-10-10,2024-10-10,615,"framework, frontend, javascript",MIT License,"**You are looking at the now inactive repository for Vue 2. The actively maintained repository for the latest version of Vue is [vuejs/core](https://github.com/vuejs/core).** Vue has reached End of Life on December 31st, 2023. It no longer receives new features, updates, or fixes. However, it is still available on all existing distribution channels (CDNs, package managers, Github, etc). If you are...",True,yyx990803,3,5,60.0,11730342
16,torvalds/linux,https://github.com/torvalds/linux,Linux kernel source tree,209590,58588,C,2011-09-04,2025-12-06,2025-12-06,3,,Other,"Linux kernel ============ The Linux kernel is the core of any Linux operating system. It manages hardware,...",True,,,5,100.0,2325298
17,ossu/computer-science,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,198730,24740,HTML,2014-05-04,2025-08-23,2025-08-23,24,"awesome-list, computer-science, courses",MIT License,"<div align=""center"" style=""text-align: center""> <img src=""images/ossu-logo.webp"" alt=""Open Source Society logo""/> <h3>Open Source Society University</h3>...",True,ericdouglas,3,5,75.0,19415064
18,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",196905,12033,未知,2018-06-23,2024-11-19,2024-11-19,101,"awesome, awesome-list, bsd",MIT License,"<p align=""center""> <a href=""https://github.com/trimstray/the-book-of-secret-knowledge""> <img src=""https://github.com/trimstray/the-book-of-secret-knowledge/blob/master/static/img/the-book-of-secret-knowledge-preview.png"" alt=""Master"">...",True,trimstray,3,5,60.0,138393139
19,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,194878,31048,JavaScript,2018-03-24,2025-11-23,2025-11-23,384,"algorithm, algorithms, computer-science",MIT License,> 🇺🇦 UKRAINE [IS BEING ATTACKED](https://war.ukraine.ua/) BY RUSSIAN ARMY. CIVILIANS ARE GETTING KILLED. RESIDENTIAL AREAS ARE GETTING BOMBED. > - Help Ukraine via: >   - [Serhiy Prytula Charity Foundation](https://prytulafoundation.org/en/)...,True,trekhleb,3,5,90.0,126577260
20,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,192692,75027,C++,2015-11-07,2025-12-06,2025-12-06,2729,"deep-learning, deep-neural-networks, distributed",Apache License 2.0,"<div align=""center""> <img src=""https://www.tensorflow.org/images/tf_logo_horizontal.png""> </div>...",True,tensorflower-gardener,3,5,90.0,45717250
21,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.,183985,33681,未知,2013-11-16,2025-05-20,2025-05-20,3,"async, book, book-series",Other,"This is a series of books diving deep into the core mechanisms of the JavaScript language. This is the **second edition** of the book series: <a href=""https://leanpub.com/ydkjsy-get-started""><img src=""get-started/images/cover.png"" width=""75""></a>&nbsp;&nbsp; <a href=""https://leanpub.com/ydkjsy-scope-closures""><img src=""scope-closures/images/cover.png"" width=""75""></a>&nbsp;&nbsp;...",True,getify,3,5,75.0,14440270
22,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python,",183161,26288,Shell,2009-08-28,2025-12-06,2025-12-06,531,"cli, cli-app, oh-my-zsh",MIT License,"<p align=""center""><img src=""https://ohmyzsh.s3.amazonaws.com/omz-ansi-github.png"" alt=""Oh My Zsh""></p> Oh My Zsh is an open source, community-driven framework for managing your [zsh](https://www.zsh.org/) configuration....",True,mcornella,3,5,100.0,291137
23,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,183044,51252,未知,2018-02-13,2024-08-21,2023-07-20,193,"algorithm, computer-science, cpp",无,"<div align=""center""> <a href=""https://www.cyc2018.xyz""> <img src=""https://badgen.net/badge/CyC/%E5%9C%A8%E7%BA%BF%E9%98%85%E8%AF%BB?icon=sourcegraph&color=4ab8a1""></a> <a href=""https://gitstar-ranking.com/repositories""> <img src=""https://badgen.net/badge/Rank/13?icon=github&color=4ab8a1""></a>...",True,CyC2018,3,5,60.0,121395510
